,L3,Reporter,Partner,Reporter_Total_Imports,Partner_Total_Imports,Reporter_Total_Exports,Partner_Total_Exports,Ind1,Ind2,Ind3,Ind4
6576,S05,C643,C004,1861134103.0,10594575.0,780245100.55,20206.0,0.0,0.0,0.0,0.0
6703,L07,C643,C004,3274204961.0,78313885.0,481127574.72,709488.0,0.0,0.0,0.0,0.0
6830,S03,C643,C004,4094462579.0,6379624.0,2216437169.15,2808739.0,0.0,0.0,0.0,0.0005
6957,S02,C643,C004,10975221129.0,41044016.0,1162442169.06,892085.0,0.0,0.0,0.0,0.0
7084,S01,C643,C004,17363104360.0,23159260.0,1907950554.35,803134.13,0.0,0.0001,0.0089,0.002
7211,S04,C643,C004,8919036802.0,3682346.0,316312595.05,871473.16,0.0,0.0,0.0,0.0
7338,T09,C643,C004,3508029040.0,13258304.0,732975774.69,707982.0,0.0,0.0,0.0,0.0002
7465,T01,C643,C004,4072733953.0,6067459.0,536700807.19,1149955.0,0.0,0.0,0.0008,0.0
7592,T06,C643,C004,2833492717.0,20264913.0,332501994.84,73347.0,0.0,0.0004,0.0058,0.0
7719,T04,C643,C004,12272742257.0,85497992.0,801395764.25,694007.74,0.0,0.0,0.0,0.0001
7846,T03,C643,C004,1928198553.0,89932858.0,182553038.8,368960.0,0.0,0.0,0.0,0.0008
7973,T05,C643,C004,1137240658.0,252867.0,423016724.68,16126.0,0.0,0.0,0.0,0.0
8100,T02,C643,C004,4243175343.0,1932719.0,886091156.95,1773690.63,0.0,0.0,0.0045,0.0
8227,U01,C643,C004,2418328657.0,0.0,1162097133.59,0.0,0.0,0.0,0.0,0.0
8354,U09,C643,C004,852557732.0,29204953.0,65963488.75,1656680.0,0.0,0.0,0.0,0.0
8481,U02,C643,C004,17278393952.0,131439913.0,2515330751.51,1029911.42,0.0,0.0003,0.0053,0.0
8608,V05,C643,C004,0.0,96585570.0,354692128.53,495.0,0.0,0.0006,0.0023,0.0
8735,U03,C643,C004,289919132.0,8241389.0,34068578.0,1319.0,0.0,0.0,0.0,0.0
8862,U05,C643,C004,0.0,4597971.0,708634076.1,871427.0,0.0,0.0004,0.0588,0.0
8989,V01,C643,C004,700421782.0,44473.0,277219260.38,31440.0,0.0,0.0,0.0,0.0
9116,V02,C643,C004,2733093330.0,240784834.0,548183703.37,976690.0,0.0,0.0,0.0,0.0
9243,V03,C643,C004,4551026818.0,102822192.0,196458746.36,555483.01,0.0,0.0008,0.0015,0.0
